nama_pengguna,rating,tanggal,ulasan
Andikaintiwibowo,5,2026-06-01 18:34:02,sangat membantu buat transaksi atau tranfer terimakasih
Faisal Abdi,1,2026-06-01 18:08:40,saya kehilangan sebesar seratus ribu rupiah melalui penarikan tarik tunai via brimo padahal saya tidak pernah melakukan transaksi ini apa kah semudah itu aplikasi BRI di bobol
atom tom,1,2026-06-01 18:02:13,susah sekali daftar BRI MO. gak perna bisa knp ya
Alu Troyz chanel,5,2026-06-01 17:44:32,cukup baik .. lebih mudah ber transaksi.
4LF1N V3RN4ND0,1,2026-06-01 17:44:11,setelah update punya saya eror gps padahal gpsnya udh aktif minta di aktifkan teruss hadeuuh .
Akudownload Mlus,1,2026-06-01 17:42:39,benerin lah brimo ini mau TF jaringan bagus di bilang jaringan kurang bagus hadehh
Hana Wami,5,2026-06-01 17:38:56,Aplikasih Brimo sangat membantu
Angga Argho,1,2026-06-01 17:37:34,"transfer dan top up gagal terus karena koneksi internet buruk, padahal internet sangat baik"
Qonitatul Karimah,1,2026-06-01 17:26:40,tolong yaaa aku mau Transfer kenapa selalu koneksi internet terus padahal jaringan udah full susah pakai wifi jga fulll jangan di persulit dong jadi susah ini transfernya.
Alan Juniar,1,2026-06-01 17:25:13,beli data gak masuk masuk... pulsa juga begitu kebanyakan maintenance mending gua simpen di dompet daripada bingung kalo lagi butuh.... tolong di fix donk biar semakin nyaman
sephia auliani,1,2026-06-01 17:19:22,terhambat untuk login Krn verifikasi wajah yang gagal terus menerus sampai saat ini (sdh 5 hari) dan setiap chat CS di WhatsApp resmi nya TDK memberikan solusi yang nyata
Apt Panms Ldcys,1,2026-06-01 17:13:16,"gak bisa login, verifikasi wajah gagal Mulu, hadehhh!"
Risky ramadhan,4,2026-06-01 17:00:06,aplikasi yang sangat membatu dan sangan memudahkan kita saat transaksi mantabbbbbbbbbbbbbb
Anto Bryan,5,2026-06-01 16:57:29,aplikasi ini sangat bagus dan sangat membantu juga dalam transaksi online pokoknya keren muantap poll
Wahyu Pratama,2,2026-06-01 16:46:33,lambat kali masuk mutasinya
Sakit Pipi,5,2026-06-01 16:40:47,Aplikasi ini memang bagus 👍
Andi Irwandi,3,2026-06-01 16:25:29,"pindahin app brimo di hp baru, verifikasi wajah stop pas senyum, gagal terus. aneh"
Bayu Lakoro,5,2026-06-01 16:24:58,mantap pakai brimo
Galang Galangtri,5,2026-06-01 16:10:59,mantap pokonamahh
rio senduk,5,2026-06-01 16:01:35,Mantap cepat proses nya
chairullah ahmad,5,2026-06-01 15:58:19,makasih BRI
Lilis Lisnawati,5,2026-06-01 15:45:59,Aplikasi Nya Mantap
Stepanus Lambiombir,5,2026-06-01 15:45:07,💯🔥
Paduka Parrah,4,2026-06-01 15:39:00,bnyak potongan
Pendul Racing,5,2026-06-01 15:32:17,mantap👍🏻
Friska Palupi,3,2026-06-01 15:22:06,"saya mau daftar di brimo,tapi pas foto KTP, loading nya lama,jadi sampai sekarang saya tidak bisa daftar di brimo,saya mau daftar gimana caranya??"
oleena miracle,5,2026-06-01 15:17:20,"Terbaik deh, pakai Bromo, mudah dan simple, fitur nya lengkap"
Agum Pratama,3,2026-06-01 15:13:18,"saya tidak bisa login brimo di hp android, di hp iphone bisa. Setelah verifikasi wajah tiba-tiba koneksi tidak aman, padahal saya pakai data seluler wkwk, kocak aplikasinya"
Mie ayam bakso Mas dani,1,2026-06-01 14:59:24,kagak jelas masalah koneksi terus mna ada saldo nya blm BKN ATM mau transaksi susah
Jamal nur Sutanto,1,2026-06-01 14:35:23,knpa nih brimo transaksi batal tapi uang di potong enda jelas
Ngakib Pkl,4,2026-06-01 14:29:12,brimo top. lancar tapi kebanyakan pungutan walau kecil kecil
Abang Al_69,1,2026-06-01 14:22:48,bosok ga bisa di pake gini
jhojho chanelTV,2,2026-06-01 14:07:16,BIAYA SMS MAHAL SEKALI
Reggina Nazira Clara,5,2026-06-01 13:43:53,pokoknya terbaikku dah
Deni Rangga Suparjo,1,2026-06-01 13:42:40,Aplikasi nya dari kemarin sampai sekarang gak bisa di akses. mohon untuk diperbaiki lagi. soalnya banyak pengguna yg membutuhkan
Handa Yani,5,2026-06-01 13:19:39,memudahkan transaksi kemanapun
Sulis Tiyoko,5,2026-06-01 13:09:06,iku
Kenzo Dovanno,2,2026-06-01 13:07:55,qris game tidak gagal tapi transfer selalu gagal jaringan
Syarif Hidayatuloh,5,2026-06-01 13:05:05,"selama ini sangat membantu, kalaupun ada kendala itu sedang maintenance dan ada pemberitahuan terlebih dahulu"
Trie Mg.,3,2026-06-01 12:52:14,"sejak semalam, Brimo di Redmi Note 14 5G, tidak bs login, notif jaringan kurang baik, pdhl utk video stream lancar, meski dah pakai wifi atau data seluler, pindah aplikasi ke HP samsung kok bisa, kembali ke redmi tetep g bs login, meskipun sudah re install :update:: setelah 24 jam baru normal. kembali."
Endang Yuliati,5,2026-06-01 12:49:15,Transaksi lebih mudah dan cepat
Faizal Said,1,2026-06-01 12:39:01,ini apaan deh baru tanggal 1 saldo udah di hold buat angsuran. bukannya penarikan angsuran auto debit di tanggal 23 ya ?
SAEPUL BAHRI,1,2026-06-01 12:35:55,"pas login verifikasi gagal terus,,tolong dong diperbaiki,,mana uangnya GK bisa tarik sama sekali ini...."
RUDDY DE'FACTO,5,2026-06-01 12:32:23,traksaksi sangat cepat
Naila Sari,3,2026-06-01 12:21:31,kenapa brimo saya gak bisa buat beli paket internet online
Muhammad Ridho Sukri,1,2026-06-01 12:01:41,knapa ya saya asal mau transfer masalah koneksi internet tidak baik
Samhot Siburian,5,2026-06-01 11:58:52,saya suka dan praktis
Danis Danistrk,5,2026-06-01 11:55:35,menjadi lebih mudah melakukan transaksi keuangan
Achmad Arief S,5,2026-06-01 11:48:40,Sangat bagus mempermudah semua transaksi
Yusa Piw,5,2026-06-01 11:48:05,bagus peetahankan
hii Desti!!,1,2026-06-01 11:47:04,pas login ga bisa padhal sandi udh bene udh ganti 3 kali sampai
Enjanri Sitompul,5,2026-06-01 11:38:29,"Simpel, enak digunakan"
Purwati Mulyaningsih,5,2026-06-01 11:35:24,lancar jaya & memudahkan transaksi apapun..
Andriyanto ic,5,2026-06-01 11:27:06,"mantap, saya suka aplikasi BRImo"
aryo wisanggeni,5,2026-06-01 11:23:35,praktis simple top
Sri Wahyuni,1,2026-06-01 11:16:58,"mau daftar kembali ke awal terus, padahal udah sampai foto ktp , gimana sih aplikasinya"
Ramadhani Ali,5,2026-06-01 11:13:04,register dan penggunaannya sangat mudah 👍🏻
bimbang84,5,2026-06-01 11:06:09,puas dengan pelayanan nya
Dariyanto,5,2026-06-01 11:03:34,sangat bermanfaat dan simpel
Rama Febri,5,2026-06-01 10:53:33,memudahkan dalam bertransaksi.
Bertalina Bangun,1,2026-06-01 10:52:19,"Verifikasi wajah selalu gagal,"
Anwardi 123,1,2026-06-01 10:35:09,jelek banget verifikasi foto KTP eror code mulu makin rusak brimo
Wawan Suherlan,5,2026-06-01 10:30:51,mantaaaap jadi mudah bertransaksi
sani s,5,2026-06-01 10:30:51,sangat membantu aplikasi nya bagus
Wendri Pratama,1,2026-06-01 10:28:24,Loading ya lama
N.E.F,3,2026-06-01 10:23:01,kok brimo sekarang harus pakai lokasi.. lebih bagus yang sebelumnya
Dedi Supriatna,5,2026-06-01 10:08:14,mudah simple
Anonymous Annym,1,2026-06-01 09:49:56,Harus banget pake E-KTP. orang yang belum punya E-KTP nggak bisa bikin Brimo.. eror terus par kirim foto KTP. jadi males ah
Kang _nangdir (nangdirQ),2,2026-06-01 09:44:52,"aplikasinya jujur aja oke, cuma pelayanan kartu kredit yang pakai telpon biasa itu bikin boncos mana CS memang sengaja ngulur waktu, masa di tunggu 2-4 menit, ada lagi 3-5 menit...permainan macam apa ini"
usment al muqri,1,2026-06-01 09:39:51,"gak bisa masuk aplikasi, padahal ram 6gb tapi tiap masuk aplikasi malah gk bisa, gk ada respon sama sekali, duit saya d dalam aplikasinya, aplikasi gk bisa d akses, tolong dong min"
Meilina Lely,5,2026-06-01 09:37:15,Good👍👍
Wahyudi,1,2026-06-01 09:28:21,lelet banget skrng ini aplikasi
Tyas Putri,1,2026-06-01 09:25:19,"minta tolong dong, brimo dari tgl 27 gabisa login"" gagal di verifikasi muka trs. udh ngadu ke call center katanya 1 hari kerja tp tetep gabisa login juga sampe skrg masalahnya di koneksi trs pdhl udh gonta ganti provider sampe install uninstall aplikasi jg. Ini mau apa apa jadi susah karna dananya disitu semua. Tolong yaa BRI."
Nira Cahya intan,5,2026-06-01 09:22:06,sgt memuaskan dlm segla hal bertransaksi
Ari S,1,2026-06-01 09:19:53,brimo apk buruk verifikasi aja susah bngt jaringan buruk lah apa lah gak jelas brimo buruk bangt padahal jaringan saya bagus
Seta Dewa,5,2026-06-01 09:18:23,sangat membantu dalam semua transaksi
Parlaungan Nasution,5,2026-06-01 09:15:47,"sangat membantu dalam proses transaksi online dan pelayanannya cepat,mudah ok"
Yuni Laura,5,2026-06-01 09:13:04,bagus tapi admin nya besar kali😅😅😅
Daniel Deden,3,2026-06-01 09:07:23,veryfikasi ktp susah/eror
Reni Mulyani,5,2026-06-01 09:06:37,Sangat membatu
Gung Ayu,5,2026-06-01 09:06:33,sangat membantu dan cepat
MIKO NAZRATUL MAIMAN,1,2026-06-01 08:56:35,"aplikasi rusak sama kayak pemerintahan rusak, gw butuh top up brizzi buat berangkat kerja jadi telat karena aplikasi rusak ini, login susah udah gw isi saldo 20rb malah gagal"
Erlin Safitri,5,2026-06-01 08:54:36,mntavv
Ketua Sumarna,5,2026-06-01 08:48:30,mempernudah
Alim Bahri Amir,5,2026-06-01 08:43:13,"aplikasi praktis, aman dan akurat"
Abdul Rahman,5,2026-06-01 08:40:46,fiturnya bagus sekali
BUAH TANGAN INK ART,5,2026-06-01 08:40:28,Nice app
Akun Utama,3,2026-06-01 08:25:38,ini kenapa dah banyak bug aplikasinya kadang bisa kebuka kadang ngga di dev samsung a04s andro 14
Ghoniyu Satya Ikroomi,1,2026-06-01 08:24:49,"gangguan terus, rek bri sudah tidak saya pakai lagi"
enchistral art,1,2026-06-01 08:20:17,"kasihan sekali bagi yg pengguna tablet gabisa akses GPS, aduh ini pusing bet pala saya ini, gabisa akses lokasi ini pengaturan mau begimanapun ini gbisa ini, masalahnya pengguna tablet hanya ada ""izinkan aplikasi saat digunakan"" gada ""selalu izinkan"", tolong ini mah mohon ganti ke versi lamaaaaa aja, saya sebagai pengguna tablet pocopad ngerasa di rugiin!!!!! etdah ribettt!"
Tiara,4,2026-06-01 08:19:35,ini kok di pakek transfer GK bisa ya aneh
Ai Komala,1,2026-06-01 08:14:02,aplikasi kocak gapunya solusi yg baik dftar rek aja ga bisa bisa sdng kan data udah oke giliran di coba. truss Mallah ada batas limit percobaan hadeuhhhh nyusahin kalo bisa aturan pakai bank lain ga sudi dftar BRI
Op Frans,5,2026-06-01 08:13:24,semoga aman dan terpercaya
Putri Andini,5,2026-06-01 08:12:01,smg lebih baik
sherloky ulum,5,2026-06-01 08:08:46,suka banget nggaaa lemot nggaaa ribet mudah dipahami dan jelas informasinya
Surya Wijaya,1,2026-06-01 08:04:42,update baru yang bikin wajib aktifkan GPS ini sangat memgganggu!!
Tsaqif Ajh,5,2026-06-01 07:50:24,jom main BRImo
Iwan Idrus,5,2026-06-01 07:27:30,memudahkan untuk bertransaksi
Hamid,1,2026-06-01 07:26:48,Verifikasi muka susah banget
Pasaribu Gorat,5,2026-06-01 07:24:21,kesan yng baik
Afah Iyah,1,2026-06-01 07:16:55,"ini gimana sihhh aplikasi, ma transfer urgent malah kendala jaringan hallahhh. aplikasi aneh"
Elsanum Alvaro,4,2026-06-01 07:10:13,sangat membantu dalam bertransaksi sehari hari setiap saat kapan pun dan di manapun.
Sagita Desember,5,2026-06-01 06:57:14,sangat bagus ...
Eva,5,2026-06-01 06:55:37,mudah digunkan
Nahla Alfatih,5,2026-06-01 06:54:05,selalu puas dengan performa BRIMO
Ruli Mey_7979,5,2026-06-01 06:51:25,gak ribet dan lebih cepat
Adit Tiya,1,2026-06-01 06:43:23,"celaka , hp jadi cepat ngedrop semenjak buka brimo harus nyalakan lokasi.. coba GK usah lah pake nyalakan lokasi ,, bikin batre hp cepat ko"
Resti Yunita,5,2026-06-01 06:21:43,"memudahkan,"
Hasbi Antasafi,2,2026-06-01 06:21:31,semenjak pakai briguna jadi ada potongan potongan gak jelas
Bagus Wijaya,5,2026-06-01 06:21:04,easy to register and use
Syamjaya Rachman,5,2026-06-01 06:18:12,Sangat Membantu Aktifitas Transaksi saya...
Andi Rusmianto,5,2026-06-01 05:42:40,sangat senang dan membantu sekali dalam transaksi pembayaran
Nana Nazibah,5,2026-06-01 05:40:53,Bagus. mempermudah dalam bertransaksi
Nurhasanah,5,2026-06-01 05:28:13,Oke banget 👍👍👍👍👍
Arfian Yahya,4,2026-06-01 05:18:37,nothing special
Agung Agung,5,2026-06-01 05:18:34,"sangat aman, nyaman, mudah, cepat dan akurat."
Nurhakim Rukman,5,2026-06-01 05:06:43,akurat
Nona Kaiba bonai,5,2026-06-01 05:06:09,baikkk
Sri Kurniati,1,2026-06-01 04:50:27,"berulang kali gagal transfer dengan alasan jaringan padahal tidak ada kendala dengan jaringan ataupun paket data, dan saldo utk transfer mencukupi"
Yudha Mandala,5,2026-06-01 04:35:43,"bintang 5 untuk sementara , tolong dong kenapa kalo buka brimo sekarang harus selalu aktifkan gps lokasi , kalo gkndi aktifkan gk bisa di buka , hp saya kalo buka gps selalu macet patah"" nihhh"
GHAZALY Via,5,2026-06-01 03:42:14,aplikasix mudah di gunakan gak ribet
Jasdi Tumanggor,4,2026-06-01 03:27:26,perbaharui brimo nya
Fery Idm,1,2026-06-01 02:35:27,"payah bulan kemarin d brimo bayar PDAM 50/60 ribu lebih 1 bulan,pas d cek d aplikasi PDAM nya malah 142 ribu lebih itungan 2 bulan untung liat d aplikasi PDAM nya payah untung GX d cabut meterannya kapok GX lagi2 bayar d sni rugi banyak payah 😑😑 kecewa"
Geno Pit,1,2026-06-01 02:27:00,PENYELESAIAN PENGADUAN TERLALU BERLARUT-LARUT. TANPA ADA SOLUSI TEPAT. HANYA DAPAT MELEMPARKAN KEPUTUSAN KE PIHAK LAIN.
John P,5,2026-06-01 01:35:57,Sangat efisien dan mudah dipakai
Eko Suroyo,5,2026-06-01 00:20:32,Brimo aplikasi BRI banking adalah cara mudah bertransaksi.
Sopian ID,1,2026-05-31 23:48:33,kurang puas
Saweno No,5,2026-05-31 23:47:16,"mudah,cepat,dan aman 👍🙏"
Dimas Saputra,5,2026-05-31 23:46:42,memuaskan saya kasi bintang kejora
tomy property,5,2026-05-31 23:43:08,sangat memudah kan aktifitas kita
MUH. HIDAYATUR ROHMAN,5,2026-05-31 23:32:01,Lancar
Heri Heriansah,1,2026-05-31 23:13:37,gmna sih brimo kaga bisa di buka aneh banget ga bisa di pencet aplikasi nya
Yan Partika,2,2026-05-31 23:12:09,kurang suka jika hrus aktifkan gps kalau login...
tiara ayunrnn,1,2026-05-31 22:43:50,Sebelumnya saya minta maaf. tapi kenapa saat mau bukan rekening itu ga bisa terus ya. padahal jaringan lancar . dan foto KTP error terus padah sudah pas dan benar. capek mengulang terus berkali kali. tiba tiba malah disuruh dari awal. pas udah mau buka lagi eh malah ga bisa katanya aktivitas terlalu banyak. tolong buat aplikasi dibenerin ya error terus soalnya. dikurangi juga loadingnya. terimakasih
Yudi Setiawan,3,2026-05-31 22:12:09,"semua nya sudah bagus sih, sudah optimal dalam operasi mercant dan lain nya, , tapi yg bikin saya bingung sekarang itu, kok bisa sih aplikasi ini harus mewajibkan akses lokasi? bagaimana jika tidak dalam jangkauan yg lokasi nya susah sinyal?? bagaimana juga kalo akses lokasi di hp nya seseorang tidak dapat menggunakan akses lokasi (fitur rusak)? itu yang bikin makin ribet di aplikasi brimo ini, setiap mw masuk harus aktifkan lokasi. kan ribet?!"
Alung Ajalah,1,2026-05-31 22:11:33,sekali di up malah bukak aplikasi nya harus nyalain gps dulu makin ribet aja nih brimo
abdul harris,1,2026-05-31 21:51:31,Buka aplikasi loading lama.
Vestika Tika,5,2026-05-31 21:25:20,pelayanan brimo sngt mmbntu custemer
Salsa Inayah,4,2026-05-31 20:35:31,"ini kenapa sih habis update, pas mau login kudu nyalain GPS. Kalian kan Mbanking, data lokasi tuh buat apaannnn. Kalo update yg bener dah, dikira nyalain GPS itu nggak habisin kuota sama baterai apa, login juga makin ribet, padahal sebelumnya nggak perlu nyalain lokasi. Mohon dikaji ulang untuk pembaruan aplikasi selanjutnya, terima kasih"
Muata Kintap,5,2026-05-31 20:28:46,mantaap cepat dan lekas
Ilham Ahmad Al-khalil,5,2026-05-31 20:13:35,🤙🏻
Syafiqa alfaizah,1,2026-05-31 20:05:24,penangan terlaluh lama
Budi Hartati,5,2026-05-31 19:47:40,lancar tanpa kendala
Ari Yanto,5,2026-05-31 19:39:44,membantu untuk transaksi jual beli
pandi sopandi,5,2026-05-31 19:32:16,ok ok
IRFAN MAHMUZI,1,2026-05-31 19:18:57,"bri gak jelas, mau transfer aja sering gangguan. login Qris aja sering gangguan sampai ke blokir akun brimo saya. asli ini bank paling gak nyaman banget. mending utup aja udah BRI ini"
Andik Wahyudi,5,2026-05-31 18:42:05,bagus cepat dan mudah digunakan.
irwanboro hasna123,3,2026-05-31 18:35:02,aplikasi kadang TDK bisa terbuka padahal sudah diperbaharui
Luqman,5,2026-05-31 18:09:32,kenapa buka brimo sekarang harus nyalain GPS nya?
Manik Jaya,5,2026-05-31 18:08:19,"mudah sekali mengunakan aplikasi ini dan proses nya juga cepat, sangat puas..mantap lah"
Rin Nohara,1,2026-05-31 18:04:41,"ini kenapa ya sudah hapus bolak balek tetep aja aplikasi nya ngebug, nggk bisa di bukak tolong dong di perbarui"
Tawi Alfiansyah,5,2026-05-31 18:04:05,Sangat membantu gak harus ke atm
MPITT OFFICIAL,4,2026-05-31 17:53:31,"mau buka rekening tapi gagal di tahap ke 6 verifikasi wajah, kenapa sih padahal jaribgan bagus, pencahayaan alami juga udah bagus gak redup dan gak terlalu terang.. tolong bantuan nya lah"
REST IN PEACE RAFDI ALI,1,2026-05-31 17:06:05,"apanih, pas pake versi 2.44 bisa masuk, tapi pas update ke versi terbaru malah force close terus gabisa masuk"
Andeko,5,2026-05-31 16:59:42,sangat mudah digunakan.
Naylaaa Nareswary,5,2026-05-31 16:59:38,bagus banget jadi midah
Dede Bintang,3,2026-05-31 16:39:41,"brimo tidak bisa transaksi lewat m banking notif koneksi internet anda kurang baik padahal udah coba pake wifi, pake paket data tetap saja tidak bisa tolong perbaiki dong admin terimakasih"
Ari Away,5,2026-05-31 16:38:09,sangat bagus amanah
Sarah Tamin,5,2026-05-31 16:34:22,mantap lancar jaya
purwa shop,5,2026-05-31 16:24:34,ini kenapa harus aktifin GPS kalau mau log in ?
Aisyah Amira,2,2026-05-31 16:23:17,"kenapa tiba-tiba harus ada GPS, mana buka d tablet g ada GPS, mau atur2 dulu sulit dn makan waktu 👎👎👎👎"
Putra Cendana,5,2026-05-31 16:22:35,propesional
WIRAWAN KADEK,5,2026-05-31 16:20:04,banyak gebyar hadiahnya
Msobiin2025 IND,1,2026-05-31 16:00:07,"ngeleg mau dastardly gk bisa"""
abdul azis Muslim,5,2026-05-31 15:52:31,sangat mudah penggunaan. nya
MEMETZZ PLENGER,5,2026-05-31 15:49:12,smoga kwalitas aplikasi tmbh jozz jizzz
Ban_ Bana,1,2026-05-31 15:30:14,bangke udah top up tapi transaksi masih diproses aja belum masuk² ke ewalet uwangnya lama banget biasanya aja cepet eh ini malah lama. kecewa
Kar Y03t,5,2026-05-31 15:11:52,sangat membantu aktifitas sehari-hari
Ervin Aprilia,5,2026-05-31 15:11:45,tolong di permudah pendaftaran nya agar pengguna baru bisa bikin akun masa melakukan pendaftaran nomer tidak sesuai terus padahal nomer hp terpasang dan aktif klu begini terus nggk bakalan bisa bikin akun.
Tono Gusmaryanto,2,2026-05-31 14:55:36,kadang luplep
Pa Ten,5,2026-05-31 14:53:12,sangat sangat baik ♥️♥️
Azhar Fattah,2,2026-05-31 14:51:50,"saya transaksi QRIS dari jam 09:26:39 tgl 12 mei 2026 nyampe sekarang belum masuk dan saldo sudah kepotong tapi gak masuk dan saldo tidak kembali hanya menggantung saya bikin pengaduan responnya gak jelas, rekening atas nama siti Aminah gimana gak ada respon sampai sekarang"
Wildhan Ellan,1,2026-05-31 14:45:28,update terbaru menyusahkan pengguna karna harus aktif gps nya selama menggunakan aplkasi dan sebagai pengguna saya keberatan jika harus menyalakan gps akurat karna privasi
Madie Wijaya,5,2026-05-31 14:29:47,sesuai dgn kebutuhan dan cepat
Athy Sari,4,2026-05-31 14:17:03,"Kenapa sekarang kalo buka brimo harus aktif kan lokasi,, apa manfaatnya?"
Tia Evlit,1,2026-05-31 14:08:11,"Pembayaran kris, dapat notif pembayaran gagal, tapi keesokannya uangnya tetap kepotong. Jir lah."
Rian Setiadi,5,2026-05-31 14:06:05,sangat memuaskan pelanggan
dwi puspita,5,2026-05-31 13:57:28,baik banget
Eirene Nyx,2,2026-05-31 13:47:54,"lagi urgent²nya dari 2hari kemaren gk bisa login, disuruh ngaktifin gps terus.. orang udah aktif kok, lagi error apa gimana sihhh, error kok lama banget"
Yohanes Lende,5,2026-05-31 13:44:20,"aplikasi nya sangat bagus dan mudah juga untuk melakukan transaksi tapi sayang pada aku saat Saya melakukan transaksi atu transfer brimo nya ""koneksi internet buruk silahkan cek paket data atau wifi"" padahal jaringan ku lancar sekali, mohon untuk tim apk Brimo segera untuk memperbaiki 🙏🏻"
Antika Ikha,5,2026-05-31 13:37:45,"selain mudah tarik tanpa kartu,apl brimo uga bisa isi plsa f dan pls listrik"
Murti Endro,5,2026-05-31 13:37:03,sangat membantu..
M Raflian rusli,2,2026-05-31 12:59:55,sangat di sayangkan transaksi qrisnya sering eror masa prosesnya smpe nunggu 10 hri bru lihat masuk atau gagal pdahal sisa tingal tindak lanjuti atau pembatalan di sistemnya aja eh malah nunggu pula orng yg ingin beli sesuatu juga was was kalo adanya masalah kaya gini
Redmi Rembang,5,2026-05-31 12:51:01,sangat baik untuk di gunakan
Patih Kalimundra,5,2026-05-31 12:12:35,setiap masuk harus perivikasi no hp KTP dan permuk muka. ribet gk kaya bank lain. cukup smpe sini pke bri lah jelek
Hendra Hendra,5,2026-05-31 12:06:53,"proses cepat, terima kasih"
M Yusup Hamdani,1,2026-05-31 12:01:36,"MOBILE BANKING TERBUSUK, MINTA AKTIFIN GPS PADAHAL UDAH AKTIF, VERIFIKASI CAMERA GAGAL TERUS, JING"
Reza Januar,1,2026-05-31 11:56:38,"Gangguan teruss Bang...t kirim dana gabisa terus padahal apk sudah di perbarui, Aplikasi brimo koplak"
Retno Diyanto,1,2026-05-31 11:40:45,"ko Mlah error yg skrng,ngga bisa login kluarnya koneksi internet terus,pke wifi pun sama,parah ahh padahal LG kluar daerah"
Zulfikar W,5,2026-05-31 11:40:10,sangat bgus👍😉
Abdurrahman,4,2026-05-31 11:38:15,"kok sekarang kode otp verifikasinya tidak lewat WA yah, saya kesusahan loginnya karena kode otp saya masuk ke sms, sedangkan nomornya sudah tidak aktif"
Arlya Niddd,5,2026-05-31 11:28:10,"baik sekali,cpat TRIms brimo"
Feri Madni,5,2026-05-31 11:10:59,"bagus,sangat mudah"
Riswandi Bahauddin,5,2026-05-31 10:40:26,cepat dan lancar
Bla Bla,5,2026-05-31 10:36:03,tengkiu
Yuyie wijayanti,5,2026-05-31 10:35:33,"terima kasih brimo,, memudahkan saya sebagai ibu rumah tangga dan juga memudahkan untuk wirausaha"
Ibu Yayat,5,2026-05-31 10:02:51,mempermudah hidup
Akbar Fatoni,1,2026-05-31 09:59:53,transaksi lama
Sulis Ning,4,2026-05-31 09:56:05,"ini knp brimo koq harus aktifkan lokasi, giliran ga d aktif kn ga bs d buka brimo nya?!"
Annisa Rahma Dinata,5,2026-05-31 09:51:30,tolong kalo ada iklan jangan motong saldo si
Rofinus Praing,5,2026-05-31 09:43:40,tolong kasih aktif akun ka
Janah Rizky,5,2026-05-31 09:43:30,Tolong tambahkan kemudahan untuk pembayaran cicilan/angsuran. saat ini tidak bisa bayar angsuran ke Toyota Astra finance menggunakan brimo. terimakasih
Citra Oktafiani,5,2026-05-31 09:36:37,Semua akses keuangan dlm 1 genggaman. Cepat & mudah 👍
JOEL SELAN,1,2026-05-31 09:34:41,"transaksi kok butuh waktu lama, sedangkan orang yg kita tf lagi butuh uang lohhh"
sahrul cdx,1,2026-05-31 09:33:25,gps gua eror dan buka harus pake gps lol
Erna 2729,5,2026-05-31 09:28:49,kdg hnya eror sbntr
Meva A.S Owendina Aritonang,5,2026-05-31 09:28:01,"Kecewa dengan BRImo, saya bayar tagihan cicilan Shopee melalui BRIVA BRImo tapi belum SUKSES dari BRIVA nya, sehingga tagihan cicilan saya masi tersedia dan belum lunas. Tolong diperbaharui dong, tagihan saya sudah mau melewati batas."
Metrosupar Joyo,3,2026-05-31 09:22:09,"kenapa harus aktifkan GPS kocakk,,makin ksini makin kesana aja ,"
Irvan Dethan,1,2026-05-31 09:06:30,sudah 3 hari susah verifikasi wajah 🤡
Santi Susanti,5,2026-05-31 08:56:27,tolong dong ini gimana rekening saya katanya tidak terdaftar padahal rekening saya selalu di pakai untuk transaksi.. tapi apk brimo masih bisa di buka..ini kira2 kenapa yah ?
JHON COUSTIC,5,2026-05-31 08:54:42,layanan terbaik
Kareati Erni,5,2026-05-31 08:52:50,sangat membantu buat transaksi
Yoyo Suharyo,5,2026-05-31 08:49:54,okey pembayaran sangat mudah
Mujiah Cahaya kumaiyroh,3,2026-05-31 08:14:08,saya udah coba berulang ganti uptade no rekening dipenyimpan tidak muncul no cuma satu aja terus gimana solosinya saya mau ganti no rekeningnya yg saya pakai sebab yg dbrimo itu gak ada buku atau otm yg lama tiap hari pakai gak muncul sedang no hp nik KTP alamatnya serta yg mail sama sampai sekarang gak muncul ya
Sunnani Sunnani,5,2026-05-31 08:11:04,sangat mmbntu dlm ber transaksi
Listi Yani,5,2026-05-31 07:49:01,fast respon sukaaaa
adi surya,5,2026-05-31 07:43:01,sangat puas cepat
Achmad Falah Achmad Falah,5,2026-05-31 07:42:58,Mempermudah urusan transaksi
Wiwin Susanti,5,2026-05-31 07:39:17,pelayanan yang menyenangkan dan memudahkan
Sadad Musadad,5,2026-05-31 07:32:59,oke oke lah
Minnie Chill,1,2026-05-31 07:31:23,sekarang login brimo harus mengaktifkan gps ya?
Mira Miraaa,5,2026-05-31 07:24:12,sanggat bagus dan aman
Bisri,1,2026-05-31 07:21:22,"gabisa dibuka aplikasinya, force close mulu"
Donny Riandono,5,2026-05-31 07:17:18,keren abis
Pakne Thole,2,2026-05-31 07:16:16,"habis update buka aplikasi harus aktifkan lokasi, sangat mengganggu kaya pakai gogle maap saja tolong di perbaiki terimakasih"
Dwi Cipta,5,2026-05-31 07:10:26,Joss gandoosss
Akmal Azka,1,2026-05-31 07:01:38,JANGAN DOWNLIAD..!! Aplikasi sampah. mau buka blokir aj ribet abis.
Suseno Suseno,5,2026-05-31 06:57:36,bagus...
Aiicha Thallah,5,2026-05-31 06:56:22,amazing..
Bambang S,5,2026-05-31 06:35:00,"sangat membantu sekali dimanapun saya berada, simple tidak perlu membawa uang byk dlm pembayaran"
Sunanik akhmad,5,2026-05-31 06:21:37,muantap
Batan Wosak,5,2026-05-31 06:08:41,sangat bagus dan memuaskan pada saat di pakai
Gado gado Channel,5,2026-05-31 05:40:07,pakai sidik jari mantap
Shandi San,5,2026-05-31 05:24:17,membayar semua kebutuhan jadi mudah dan cepat
